business_name,op,old,new,rationale
Abba Home,desc_fix,is a restaurant,Abba Home is a vacation rental in Puerto Viejo.,Stale restaurant-template description; regenerated for corrected category/area.
Alojamiento kon-tiky,desc_fix,is a restaurant,Alojamiento kon-tiky is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Api-Rescate,desc_fix,is a restaurant,Api-Rescate is a shop in Cocles.,Stale restaurant-template description; regenerated for corrected category/area.
Ariel Apartment's,desc_fix,is a restaurant,Ariel Apartment's is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Arrecife El Chino,desc_fix,is a restaurant,Arrecife El Chino runs tours and activities in the Puerto Viejo area.,Stale restaurant-template description; regenerated for corrected category/area.
Beach Trail,desc_fix,is a restaurant,Beach Trail runs tours and activities in the Playa Negra area.,Stale restaurant-template description; regenerated for corrected category/area.
Buddy's Sloth Crossing,desc_fix,is a restaurant,Buddy's Sloth Crossing runs tours and activities in the Puerto Viejo area.,Stale restaurant-template description; regenerated for corrected category/area.
Cabina trepazul,desc_fix,is a restaurant,Cabina trepazul is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Caribbean Blue Morpho Casitas,desc_fix,is a restaurant,Caribbean Blue Morpho Casitas is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
CaribeZen,desc_fix,is a restaurant,CaribeZen offers wellness services in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Alegra,desc_fix,is a restaurant,Casa Alegra offers wellness services in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Amma,desc_fix,is a restaurant,Casa Amma is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Amor,desc_fix,is a restaurant,Casa Amor is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Antorcha,desc_fix,is a restaurant,Casa Antorcha is a vacation rental in Cocles.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Canopy,desc_fix,is a restaurant,Casa Canopy is a vacation rental in Playa Chiquita.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Chilamate Day House,desc_fix,is a restaurant,Casa Chilamate Day House is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa del Caribe B&B,desc_fix,is a restaurant,Casa del Caribe B&B is a hotel in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Lily,desc_fix,is a restaurant,Casa Lily is a vacation rental in Playa Chiquita.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Miluca,desc_fix,is a restaurant,Casa Miluca is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Miluco,desc_fix,is a restaurant,Casa Miluco is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Olingo,desc_fix,is a restaurant,Casa Olingo is a vacation rental in Cocles.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Pallaita,desc_fix,is a restaurant,Casa Pallaita is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Palliata,desc_fix,is a restaurant,Casa Palliata is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Shanti,desc_fix,is a restaurant,Casa Shanti is a vacation rental in Cocles.,Stale restaurant-template description; regenerated for corrected category/area.
casa tia zeidy,desc_fix,is a restaurant,casa tia zeidy is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casa vacacional happy day beach house,desc_fix,is a restaurant,Casa vacacional happy day beach house is a vacation rental in Puerto Viejo.,Stale restaurant-template description; regenerated for corrected category/area.
Casa Vosi,desc_fix,is a restaurant,Casa Vosi is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casas Sloth & Butterfly,desc_fix,is a restaurant,Casas Sloth & Butterfly is a vacation rental in Playa Negra.,Stale restaurant-template description; regenerated for corrected category/area.
Casita Tucan,desc_fix,is a restaurant,Casita Tucan is a hotel in Cocles.,Stale restaurant-template description; regenerated for corrected category/area.
Casitas Batsú,desc_fix,is a restaurant,Casitas Batsú is a vacation rental in Cocles.,Stale restaurant-template description; regenerated for corrected category/area.
Cirrus Sky Paragliding CR,desc_fix,is a restaurant,Cirrus Sky Paragliding CR runs tours and activities in the Playa Negra area.,Stale restaurant-template description; regenerated for corrected category/area.
Cubali Beach,desc_fix,is a restaurant,Cubali Beach runs tours and activities in the Playa Negra area.,Stale restaurant-template description; regenerated for corrected category/area.
Nana's Place Beach House,desc_fix,is a restaurant,Nana's Place Beach House is a vacation rental in Playa Chiquita.,Stale restaurant-template description; regenerated for corrected category/area.
