ticket,business_name,op,old,new,rationale
#34,"BERACA",ig_replace,beraca,beracacr,"Xio QA: Instagram not working. @beraca resolves to a personal account (Reynaldo Beraca). Correct handle @beracacr verified via Instagram OG metadata (""Beraca Cr"")."
#38,"Café Gustitos",ig_replace,caf_gustitos,cafegustitos,"Xio QA: Instagram not working. @caf_gustitos is dead (no OG profile). Correct handle @cafegustitos verified via Instagram OG metadata (""CAFE GUSTITOS""). Underscore was the bug."
#36,"Bread and Chocolate",ig_clear,breadand,,"Xio QA: Instagram not correct. @breadand resolves to a personal account (Álvaro Paniagua). No replacement found; removed to stop misrouting."
#69,"Chile Rojo",ig_clear,chili_cr,,"Xio QA: Instagram not correct. @chili_cr resolves to a personal account (Katherynne). No replacement found; removed."
#47,"Casa Chilamate Day House",ig_clear,casachilamatedayhouse,,"Xio QA: Instagram not working. @casachilamatedayhouse is dead (no OG profile). No replacement found; removed."
#30,"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",ig_clear,azulbarandgrill,,"Xio QA: Instagram not working. @azulbarandgrill is dead (no OG profile). Venue is part of Banana Azul; no venue-specific IG confirmed. Removed."
sweep,"Automotriz Danny",ig_clear,automotrizdanny,,"Sweep: handle already flagged instagram_confidence=removed and confirmed dead (no OG profile). Removed."
#31,"Beach Break Restaurant - Playa Cocles, Puerto Viejo, Limón, Costa Rica",fb_clear,"https://www.facebook.com/profile.php?id=100075594441491",,"Xio QA: Facebook not working. Generic numeric profile link; could not confirm live. Removed."
#35,"Boca Chica Bar Restaurante y Piscina - Cahuita, Limón, Costa Rica",web_to_ta,"https://www.tripadvisor.com/Restaurant_Review-g309262-d2316096-Reviews-Restaurante_Bar_Boca_Chica-Cahuita_Province_of_Limon.html",,"Xio QA: Website button goes to TripAdvisor review page, not a real site. Moved to tripadvisor_url; website cleared."
#40,"Cafe Viejo",web_to_ta,"https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html",,"Xio QA: Website is a TripAdvisor review page. Moved to tripadvisor_url; website cleared."
#68,"Chile Rojo",web_to_ta,"https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html",,"Website was a TripAdvisor review page. Moved to tripadvisor_url; website cleared. (Also covers #70 FB-name mismatch: master name matches Google; no change.)"
#75,"Cool and Calm Cafe - Manzanillo, Limón, Costa Rica",web_to_ta,"https://www.tripadvisor.com/Restaurant_Review-g1644063-d4741756-Reviews-Cool_Calm_Cafe-Manzanillo_Province_of_Limon.html",,"Xio QA: Website es Tripadvisor. Moved to tripadvisor_url; website cleared."
sweep,"De Gustibus Bakery",web_to_ta,"https://www.tripadvisor.com/Restaurant_Review-g309265-d7960369-Reviews-De_Gustibus_Bakery-Puerto_Viejo_de_Talamanca_Province_of_Limon.html",,"Sweep: same website= TripAdvisor defect. Moved to tripadvisor_url; website cleared."
#30,"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",ta_clean,"http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d7311559-Reviews-Azul_Beach_Club-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","https://www.tripadvisor.com/Restaurant_Review-g309265-d7311559-Reviews-Azul_Beach_Club-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","Affiliate-wrapped TripAdvisor URL cleaned (project standard)."
#40,"Cafe Viejo",ta_clean,"http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","Affiliate-wrapped TripAdvisor URL cleaned."
#68,"Chile Rojo",ta_clean,"http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","Affiliate-wrapped TripAdvisor URL cleaned."
#36,"Bread and Chocolate",ta_clean,"http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1167716-Reviews-Bread_Chocolate-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","https://www.tripadvisor.com/Restaurant_Review-g309265-d1167716-Reviews-Bread_Chocolate-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","Affiliate-wrapped TripAdvisor URL cleaned."
sweep,"De Gustibus Bakery",ta_clean,"http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d7960369-Reviews-De_Gustibus_Bakery-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","https://www.tripadvisor.com/Restaurant_Review-g309265-d7960369-Reviews-De_Gustibus_Bakery-Puerto_Viejo_de_Talamanca_Province_of_Limon.html","Affiliate-wrapped TripAdvisor URL cleaned."
#33,"BERACA",status_set,active,closed,"Xio QA: name question. Resolution: BERACA is a distinct Google place (""SODA BERACA"", CID 2501817113382200716) separate from Bread & Chocolate (CID 3667327054410327456). Google double-captured SODA BERACA as permanently_closed (about + hours runs 2026-08-02). Marked closed to reflect operational truth."
