decision,suggested_group,business_name,category,current_groups,matched_field,matched_label,evidence,rationale
REVIEW,nightlife,"Asante Bistro & Café - Cahuita, Limón, Costa Rica",restaurant,eat,cuisine,cocktail,«Cocktail»,Bistro/café with cocktail cuisine — could host evening scene; owner confirms
ADD,nightlife,"Colores Restaurant and Beach Lounge - Manzanillo, Limón, Costa Rica",restaurant,eat,name,lounge,"Colores Restaurant and Beach «Lounge» - Manzanillo, Limón, Costa Rica","""Lounge"" in name + restaurant = beach lounge venue"
ADD,nightlife,"Da Lime Beach Club and Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,eat,name,beach club,"Da Lime «Beach Club» and Restaurant - Playa Chiquita, Puerto...",Beach club + restaurant
ADD,nightlife,"El Refugio Grill - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",restaurant,eat,name,grill house,"El Refugio «Grill» - Playa Punta Uva, Puerto Viejo, Limón,...",Grill venue
ADD,nightlife,El Sendero Beach Club,restaurant,eat,name,beach club,El Sendero «Beach Club»,Beach club
ADD,nightlife,"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,eat,name,cantina,"Tasty Waves «Cantina» - Playa Cocles, Puerto Viejo, Limón, Co...",Cantina venue
REVIEW,nightlife,Vol'Air Dance Studio,services,services,name,dancing,Vol'Air «Dance» Studio,Dance studio — classes vs. dance nights; owner confirms
ADD,eat,"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,stay,cuisine,restaurant,«Restaurante» mexicano,Onsite restaurant (cuisine: Restaurante mexicano)
ADD,eat,"Soda y Cabinas Kaniki - Gandoca, Limón, Costa Rica",hotel,stay,name,food service,"«Soda» y Cabinas Kaniki - Gandoca, Limón, Cost...",Soda = eatery + cabinas (genuinely both)
ADD,eat,Totem Hotel Resort & Restaurant,hotel,stay,name,restaurant,Totem Hotel Resort & «Restaurant»,Restaurant in name
SKIP,stay,La Casita de Monli,restaurant,eat,name,vacation rental,La «Casita» de Monli,"""Casita"" is a diminutive, not lodging evidence"
REVIEW,stay,The Amazing Treehouse and Nature,restaurant,eat,name,rooms/resort,The Amazing «Treehouse» and Nature,Treehouse nature venue with food — lodging? owner confirms
ADD,things-to-do,"Big Tree Wildlife Refuge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,stay,name,wildlife,"Big Tree «Wildlife» Refuge - Playa Punta Uva, Puerto Viejo,...",Wildlife refuge
ADD,things-to-do,"Black Shack Surf School - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,services,name,surf,"Black Shack «Surf» School - Playa Cocles, Puerto Viejo, Li...",Surf school
REVIEW,things-to-do,"Cabinas Surf Side - Cahuita, Limón, Costa Rica",hotel,stay,name,surf,"Cabinas «Surf» Side - Cahuita, Limón, Costa Rica","""Surf Side"" = location, not activity; owner confirms"
REVIEW,things-to-do,"Cahuita National Park Hotel - Cahuita, Limón, Costa Rica",hotel,stay,name,hiking/nature,"Cahuita «National Park» Hotel - Cahuita, Limón, Costa Rica",Hotel at the park — not itself an activity; owner confirms
